segments,h,radius,radius_ref,rel_err,steps,converged
8,0.125,0.309623238947,0.318309886184,0.0272899071421,2807,1
16,0.0625,0.316197617448,0.318309886184,0.00663588794401,2692,1
32,0.03125,0.317783779283,0.318309886184,0.001652813574,3090,1
