wrap_turns,mu,theta,ratio,terminal_speed,substeps,capstan_ratio
0.5,0.1,3.14159265359,0.958375439437,-2.65709067002e-06,8,1.36910777062
0.5,0.1,3.14159265359,1.12266837191,7.95257675279e-06,8,1.36910777062
0.5,0.1,3.14159265359,1.28696130439,2.53656130908e-05,8,1.36910777062
0.5,0.1,3.14159265359,1.45125423686,0.00413852238926,8,1.36910777062
0.5,0.1,3.14159265359,1.61554716934,0.012317175796,8,1.36910777062
0.5,0.1,3.14159265359,1.77984010181,0.0204599433025,8,1.36910777062
0.5,0.1,3.14159265359,1.94413303429,0.0285164572962,8,1.36910777062
0.5,0.1,3.14159265359,2.10842596676,0.0364329131593,8,1.36910777062
0.5,0.1,3.14159265359,2.27271889924,0.0441555704272,8,1.36910777062
0.5,0.1,3.14159265359,2.43701183171,0.0516318458549,8,1.36910777062
0.5,0.25,3.14159265359,1.53529603552,3.84006907804e-05,8,2.19328005074
0.5,0.25,3.14159265359,1.79848964161,6.53823450632e-05,8,2.19328005074
0.5,0.25,3.14159265359,2.06168324769,0.00010267274815,8,2.19328005074
0.5,0.25,3.14159265359,2.32487685378,0.00516103569361,8,2.19328005074
0.5,0.25,3.14159265359,2.58807045987,0.0152919697175,8,2.19328005074
0.5,0.25,3.14159265359,2.85126406596,0.0254682637447,8,2.19328005074
0.5,0.25,3.14159265359,3.11445767205,0.0355787225578,8,2.19328005074
0.5,0.25,3.14159265359,3.37765127814,0.045516358925,8,2.19328005074
0.5,0.25,3.14159265359,3.64084488423,0.0551714353867,8,2.19328005074
0.5,0.25,3.14159265359,3.90403849031,0.0644196875745,8,2.19328005074
0.5,0.5,3.14159265359,3.36733416668,0.000189994945894,8,4.81047738097
0.5,0.5,3.14159265359,3.94459145239,0.000276395224869,8,4.81047738097
0.5,0.5,3.14159265359,4.52184873811,0.000436333683711,8,4.81047738097
0.5,0.5,3.14159265359,5.09910602382,0.00701057785376,8,4.81047738097
0.5,0.5,3.14159265359,5.67636330954,0.0208355798373,8,4.81047738097
0.5,0.5,3.14159265359,6.25362059525,0.0349984905409,8,4.81047738097
0.5,0.5,3.14159265359,6.83087788097,0.0492614212692,8,4.81047738097
0.5,0.5,3.14159265359,7.40813516669,0.0633400305237,8,4.81047738097
0.5,0.5,3.14159265359,7.9853924524,0.0768723264856,8,4.81047738097
0.5,0.5,3.14159265359,8.56264973812,0.0894384839261,8,4.81047738097
0.5,0.75,3.14159265359,7.38550685194,0.000599020657516,8,10.5507240742
0.5,0.75,3.14159265359,8.65159374084,0.000895491520515,8,10.5507240742
0.5,0.75,3.14159265359,9.91768062975,0.00137771340209,8,10.5507240742
0.5,0.75,3.14159265359,11.1837675186,0.00901659855083,8,10.5507240742
0.5,0.75,3.14159265359,12.4498544076,0.0269433476965,8,10.5507240742
0.5,0.75,3.14159265359,13.7159412965,0.0458758913513,9,10.5507240742
0.5,0.75,3.14159265359,14.9820281854,0.0654576895732,9,10.5507240742
0.5,0.75,3.14159265359,16.2481150743,0.0850664093223,10,10.5507240742
0.5,0.75,3.14159265359,17.5142019632,0.103760380181,10,10.5507240742
0.5,0.75,3.14159265359,18.7802888521,0.117684454958,10,10.5507240742
