segments,h,worst_err_inextensible,worst_err_extensible
8,0.125,0.00837672507323,0.00832898137856
16,0.0625,0.0022730056523,0.00222533937874
32,0.03125,0.000625376498039,0.000577573438141
64,0.015625,0.000195675650782,0.000147278335139
128,0.0078125,8.67504850276e-05,3.71958104433e-05
256,0.00390625,5.98795328491e-05,9.34731088472e-06
