iteration,success_rate,mean_score,seconds
0,0.0205078125,1.95559878382,12.9525028
1,0.0595703125,2.37051228712,12.9400591
2,0.150390625,2.50006969219,12.8320496
3,0.318359375,2.64671836754,12.7289011
4,0.4990234375,2.7316949181,12.7624891
5,0.7080078125,2.83723720301,12.8363403
6,0.7646484375,2.8545503328,12.8527994
7,0.8017578125,2.89041975162,12.9870001
8,0.794921875,2.86156900832,13.1561833
9,0.8486328125,2.89138629535,13.2301906
