segments,h,tip_deflection,euler_bernoulli,timoshenko,rel_err_eb,rel_err_tim,newton_iterations,converged
4,0.25,0.00010313068645,0.0001,0.0001000056875,0.0313068645006,0.0312482122586,3,1
8,0.125,0.000100786936468,0.0001,0.0001000056875,0.00786936468228,0.0078120453722,3,1
16,0.0625,0.000100200998971,0.0001,0.0001000056875,0.00200998971152,0.00195300363443,3,1
32,0.03125,0.000100054514596,0.0001,0.0001000056875,0.000545145961952,0.00048824319312,3,1
64,0.015625,0.000100017893502,0.0001,0.0001000056875,0.000178935022287,0.000122053080518,3,1
128,0.0078125,0.000100008738229,0.0001,0.0001000056875,8.73822898169e-05,3.05055548135e-05,3,1
256,0.00390625,0.000100006449411,0.0001,0.0001000056875,6.44941109368e-05,7.61867762449e-06,3,1
