substeps,substep,difference_to_half,order
4,0.00025,0.000348485878901,1.17967260148
8,0.000125,0.000153839672436,1.09631515681
16,6.25e-05,7.19522865172e-05,1.04984151812
32,3.125e-05,3.47544813622e-05,1.02531720508
64,1.5625e-05,1.70749554074e-05,1.01329958023
128,7.8125e-06,8.4591360511e-06,1.00380212785
256,3.90625e-06,4.2184359527e-06,1.00410093555
512,1.953125e-06,2.10323092803e-06,0
