index,x,y,z,qw,qx,qy,qz
0,0,0,0,0.613274840413,0,0.789869590576,0
1,0.0606406074588,0,-0.0155788074608,0.521187017761,0,0.853442495144,0
2,0.116331052492,0,-0.0441857499608,0.488272018598,0,0.872691489505,0
3,0.169689115844,0,-0.0769296064971,0.488866031234,0,0.872358873117,0
4,0.223093332695,0,-0.109591095845,0.509360330344,0,0.860553341678,0
5,0.277980319546,0,-0.139687854894,0.542268108465,0,0.840205509707,0
6,0.335026130633,0,-0.165451630116,0.582258552516,0,0.813003676512,0
7,0.394288832407,0,-0.185586476595,0.624030664967,0,0.781399852304,0
8,0.455325519664,0,-0.199415550851,0.663371912075,0,0.748289854448,0
9,0.517450865933,0,-0.206907408445,0.697062187169,0,0.717010674411,0
10,0.579991662594,0,-0.208664802813,0.722524512089,0,0.691345304049,0
11,0.64248532074,0,-0.205898193244,0.735470695673,0,0.677556533292,0
12,0.704818966344,0,-0.200768995716,0.732920384044,0,0.680314420435,0
13,0.767179564857,0,-0.196112355723,0.719136256794,0,0.694869084191,0
14,0.82966724675,0,-0.19396732784,0.704599364707,0,0.709605337673,0
15,0.892180421184,0,-0.194416437847,0.698021724173,0,0.716076582903,0
16,0.954664902297,0,-0.196017266712,0.707106781187,0,0.707106781187,0
