substeps,energy0,dissipation,late_drift,max_energy_gain,linear_momentum_err,angular_momentum_err
2,0.000196349540849,0.339282709302,0.0920880289908,0.0930940156054,2.69864128758e-11,0.000493400327491
4,0.000196349540849,0.262003006526,0.183564107883,0.0147674610605,2.13224272277e-10,0.00026396382657
8,0.000196349540849,0.175083419673,0.243402403454,0.000180761704793,2.38075707294e-10,0.000148416605841
16,0.000196349540849,0.102488732388,0.225850823115,0,1.01182156745e-09,8.51748507523e-05
