mu,alpha,tan_alpha,accel,accel_theory,mu_effective,displacement
0.1,0.0697680567438,0.0698814781572,0,0,0.0698814781572,0
0.1,0.078738235468,0.0789013580731,0,0,0.0789013580731,0
0.1,0.0877084141922,0.0879340151824,0,0,0.0879340151824,0
0.1,0.0966785929164,0.0969809335511,0,0,0.0969809335511,0
0.1,0.105648771641,0.106043606533,0.0589572127235,0.0589572126279,0.0999999999902,0.00550257727787
0.1,0.114618950365,0.11512353777,0.147388419657,0.147388419439,0.0999999999776,0.0137560127368
0.1,0.123589129089,0.1242222422,0.235807766235,0.235807766852,0.100000000063,0.0220083412468
0.1,0.132559307813,0.13334124709,0.324208140123,0.32420814033,0.100000000021,0.0302588990044
0.1,0.141529486537,0.142482093078,0.412582426914,0.412582426866,0.099999999995,0.0385070220134
0.1,0.150499665262,0.151646335242,0.500923515626,0.500923515548,0.0999999999919,0.046752046573
0.1,0.159469843986,0.160835544177,0.58922429794,0.589224298137,0.10000000002,0.054993309279
0.3,0.204019756135,0.206898404314,0,0,0.206898404314,0
0.3,0.230250867638,0.234407998884,0,0,0.234407998884,0
0.3,0.256481979141,0.262258066059,0,0,0.262258066059,0
0.3,0.282713090644,0.290494055717,0,0,0.290494055717,0
0.3,0.308944202147,0.319163765258,0.179095863782,0.179095863555,0.299999999976,0.0167153226078
0.3,0.33517531365,0.348317686473,0.447619858895,0.44761985843,0.29999999995,0.0417771253277
0.3,0.361406425153,0.378009389386,0.715835876601,0.715835876626,0.300000000003,0.0668101839918
0.3,0.387637536656,0.408295949592,0.983559377207,0.983559377006,0.299999999978,0.0917972751897
0.3,0.413868648159,0.439238426699,1.25060615795,1.2506061573,0.299999999928,0.11672120697
0.3,0.440099759662,0.470902402827,1.51679248092,1.51679248084,0.299999999991,0.141564830769
0.3,0.466330871165,0.503358591756,1.78193520252,1.78193520298,0.300000000052,0.166311053476
0.5,0.324553326301,0.336450444684,0,0,0.336450444684,0
0.5,0.366281611111,0.383591527378,0,0,0.383591527378,0
0.5,0.408009895921,0.432267202983,0,0,0.432267202983,0
0.5,0.449738180731,0.482732193691,0,0,0.482732193691,0
0.5,0.491466465541,0.53527330181,0.30507545747,0.305075457611,0.500000000016,0.0284732130828
0.5,0.533194750351,0.590216579547,0.762172265659,0.762172265633,0.499999999997,0.0711348382589
0.5,0.574923035161,0.647936212826,1.21794213352,1.21794213395,0.500000000052,0.113672617841
0.5,0.616651319971,0.70886565609,1.67159156838,1.67159156853,0.500000000019,0.156012493778
0.5,0.658379604781,0.773511749539,2.12233076702,2.12233076703,0.500000000001,0.198080752406
0.5,0.700107889591,0.842472829056,2.56937499382,2.56937499381,0.499999999999,0.239804153012
0.5,0.741836174401,0.916462244391,3.01194594623,3.01194594617,0.499999999991,0.281110055278
0.8,0.472318659556,0.510886283791,0,0,0.510886283791,0
0.8,0.533045344357,0.590015144897,0,0,0.590015144897,0
0.8,0.593772029157,0.675032551827,0,0,0.675032551827,0
0.8,0.654498713957,0.767327376373,0,0,0.767327376373,0
0.8,0.715225398757,0.868655609492,0.508464462179,0.50846446219,0.800000000001,0.0474558559905
0.8,0.775952083557,0.981284075766,1.26933874648,1.2693387463,0.799999999974,0.118469551434
0.8,0.836678768357,1.10820488745,2.02553348938,2.02553348987,0.800000000075,0.1890464973
0.8,0.897405453157,1.25346540102,2.77426090712,2.77426090753,0.800000000067,0.258926504954
0.8,0.958132137957,1.42269391088,3.51276074333,3.51276074295,0.799999999933,0.327851954962
0.8,1.01885882276,1.62397191709,4.23831044493,4.23831044479,0.799999999973,0.39556874682
0.8,1.07958550756,1.86935296501,4.94823520414,4.9482352036,0.799999999883,0.461827236126
