wrap_turns,mu,theta,ratio,terminal_speed,substeps,capstan_ratio
0.25,0.25,1.57079632679,1.03668086934,0,8,1.48097267049
0.25,0.25,1.57079632679,1.2143975898,0,8,1.48097267049
0.25,0.25,1.57079632679,1.39211431026,0,8,1.48097267049
0.25,0.25,1.57079632679,1.56983103072,0.00674771887404,8,1.48097267049
0.25,0.25,1.57079632679,1.74754775118,0.0201387946251,8,1.48097267049
0.25,0.25,1.57079632679,1.92526447164,0.0334679746927,8,1.48097267049
0.25,0.25,1.57079632679,2.1029811921,0.0464916781652,8,1.48097267049
0.25,0.25,1.57079632679,2.28069791255,0.0589532815842,8,1.48097267049
0.25,0.25,1.57079632679,2.45841463301,0.0705850607553,8,1.48097267049
0.25,0.25,1.57079632679,2.63613135347,0.0811269103672,8,1.48097267049
0.5,0.25,3.14159265359,1.53529603552,0,8,2.19328005074
0.5,0.25,3.14159265359,1.79848964161,0,8,2.19328005074
0.5,0.25,3.14159265359,2.06168324769,0,8,2.19328005074
0.5,0.25,3.14159265359,2.32487685378,0.00515982223328,8,2.19328005074
0.5,0.25,3.14159265359,2.58807045987,0.0152963412372,8,2.19328005074
0.5,0.25,3.14159265359,2.85126406596,0.0254694444641,8,2.19328005074
0.5,0.25,3.14159265359,3.11445767205,0.0355782781009,8,2.19328005074
0.5,0.25,3.14159265359,3.37765127814,0.0455171953827,8,2.19328005074
0.5,0.25,3.14159265359,3.64084488423,0.0551719618169,8,2.19328005074
0.5,0.25,3.14159265359,3.90403849031,0.0644204024173,8,2.19328005074
0.75,0.25,4.71238898038,2.27373146971,3.85185988877e-33,8,3.24818781387
0.75,0.25,4.71238898038,2.66351400738,0,8,3.24818781387
0.75,0.25,4.71238898038,3.05329654504,0,8,3.24818781387
0.75,0.25,4.71238898038,3.44307908271,0.00447154041851,8,3.24818781387
0.75,0.25,4.71238898038,3.83286162037,0.0131875035317,8,3.24818781387
0.75,0.25,4.71238898038,4.22264415804,0.0219622273727,8,3.24818781387
0.75,0.25,4.71238898038,4.6124266957,0.0307377679386,8,3.24818781387
0.75,0.25,4.71238898038,5.00220923337,0.0394471470649,8,3.24818781387
0.75,0.25,4.71238898038,5.39199177103,0.0480205175387,8,3.24818781387
0.75,0.25,4.71238898038,5.7817743087,0.0563840277793,8,3.24818781387
1,0.25,6.28318530718,3.36733416668,0,8,4.81047738097
1,0.25,6.28318530718,3.94459145239,0,8,4.81047738097
1,0.25,6.28318530718,4.52184873811,0,8,4.81047738097
1,0.25,6.28318530718,5.09910602382,0.00410948304998,8,4.81047738097
1,0.25,6.28318530718,5.67636330954,0.0120586453719,8,4.81047738097
1,0.25,6.28318530718,6.25362059525,0.0200604484769,8,4.81047738097
1,0.25,6.28318530718,6.83087788097,0.0280700007149,8,4.81047738097
1,0.25,6.28318530718,7.40813516669,0.0360362301682,8,4.81047738097
1,0.25,6.28318530718,7.9853924524,0.0439071192024,8,4.81047738097
1,0.25,6.28318530718,8.56264973812,0.0516258068266,8,4.81047738097
