step,time,kinetic,elastic,total,rel_energy_drift,linear_momentum_err,angular_momentum_err
0,0,0.000196349540849,1.93615595668e-29,0.000196349540849,0,0,0
100,0.1,0.000118533544621,7.72675209709e-05,0.000195801065592,0.00279336154766,2.04766351793e-11,1.22456174637e-07
200,0.2,0.000194586592409,8.70181951054e-07,0.00019545677436,0.00454682239176,2.98820459958e-11,1.79892290721e-07
300,0.3,0.000120229530485,7.53341496021e-05,0.000195563680087,0.00400235599825,6.10313384895e-11,3.12890815237e-07
400,0.4,0.000191818067754,3.41617878376e-06,0.000195234246537,0.00568014728762,5.08572521437e-11,2.77901982429e-07
500,0.5,0.00012354430124,7.17792815731e-05,0.000195323582813,0.00522516137397,4.38001627648e-11,3.99070411498e-07
600,0.6,0.000187523418536,7.49428368189e-06,0.000195017702218,0.00678299845059,6.17778591234e-11,2.99609054164e-07
700,0.7,0.000128306646393,6.67735260348e-05,0.000195080172428,0.00646484028242,7.28376549399e-11,4.83628249165e-07
800,0.8,0.000181884156758,1.29220703284e-05,0.000194806227087,0.00786003244967,6.06816358217e-11,3.10803422865e-07
900,0.9,0.000134289508773,6.05449315396e-05,0.000194834440313,0.00771634367065,7.03141188331e-11,4.75634541443e-07
1000,1,0.000175155818556,1.94435375828e-05,0.000194599356139,0.00891361753452,8.05733303074e-11,2.00966415957e-07
1100,1.1,0.000141207721955,5.33791888375e-05,0.000194586910792,0.00897700116492,1.17268505951e-10,4.12200175172e-07
1200,1.2,0.000167649077575,2.67465153798e-05,0.000194395592955,0.00995137490943,1.19297985187e-10,8.97777864026e-08
1300,1.3,0.000148747737994,4.55907620425e-05,0.000194338500036,0.0102421467569,9.28485358473e-11,2.67039976671e-07
1400,1.4,0.000159693394512,3.45007881986e-05,0.000194194182711,0.0109771488605,9.56029265534e-11,1.40604337477e-07
1500,1.5,0.000156568740434,3.75214008131e-05,0.000194090141247,0.0115070276843,9.60567792593e-11,9.05910696882e-08
1600,1.6,0.000151644500468,4.23490999337e-05,0.000193993600402,0.0119987061703,6.50603274314e-11,3.34669915049e-07
1700,1.7,0.000164316579512,2.95261851516e-05,0.000193842764664,0.0127669062777,7.90892667414e-11,1.70154189962e-07
