youngs,friction,leg_ratio,capstan_friction,held
1000000,0.2,1.57907983117,0.145417417987,1
1000000,0.2,1.6152857156,0.152633363897,1
1000000,0.2,1.65232174556,0.159849309808,1
1000000,0.2,1.69020695503,0.167065255718,1
1000000,0.2,1.72896081437,0.174281201628,0
1000000,0.2,1.76860324042,0.181497147538,0
1000000,0.2,1.80915460664,0.188713093448,0
1000000,0.2,1.85063575364,0.195929039359,0
1000000,0.2,1.89306799988,0.203144985269,0
1000000,0.2,1.93647315259,0.210360931179,0
1000000,0.2,1.98087351905,0.217576877089,0
1000000,0.2,2.02629191797,0.224792822999,0
1000000,0.2,2.07275169128,0.23200876891,0
1000000,0.2,2.12027671611,0.23922471482,0
1000000,0.2,2.16889141705,0.24644066073,0
1000000,0.2,2.21862077869,0.25365660664,0
1000000,0.2,2.26949035851,0.26087255255,0
1000000,0.2,2.32152629995,0.268088498461,0
