alpha,load,tip_x,tip_z,ref_x,ref_z,err_x,err_z,err_dist,newton_iterations,converged
0.5,0.00245436926062,0.984070018785,-0.162233707605,0.984081037529,-0.162143575556,1.10187444426e-05,9.01320487705e-05,9.08030778369e-05,8,1
1,0.00490873852123,0.943525465316,-0.301895788239,0.943566763717,-0.301720773603,4.12984001894e-05,0.000175014636251,0.000179821246687,9,1
2,0.00981747704247,0.839229387517,-0.49376782115,0.839358279175,-0.493457480047,0.00012889165825,0.000310341103233,0.000336042645987,13,1
3,0.0147262155637,0.745366041316,-0.603656032112,0.745579815436,-0.603253440664,0.000213774119918,0.000402591448366,0.000455828091109,16,1
5,0.0245436926062,0.612032554511,-0.714316991609,0.612371639276,-0.713791522974,0.000339084765067,0.000525468635029,0.000625376498039,24,1
